(0, 0);(-50, 0);(50, 0);(0, -50);(0, 50);(-55, -5);(-52, 6);(-42, -5);(-40, 8);(42, 8);(57, 6);(62, 1);(58, -2);(41, -7);(-8, -58);(0, -58);(8, -58);(-8, 58);(0, 58);(8, 58);
0,0|0,0|0,0;
0,0|-50,0|0,0;-50,0;
0,0|50,0|0,0;50,0;
0,0|0,-50|0,0;0,-50;
0,0|0,50|0,0;0,50;
0,0|-55,-5|0,0;-50,0;-55,-5;
0,0|-52,6|0,0;-50,0;-52,6;
0,0|-42,-5|0,0;-50,0;-42,-5;
0,0|-40,8|0,0;-50,0;-40,8;
0,0|42,8|0,0;50,0;42,8;
0,0|57,6|0,0;50,0;57,6;
0,0|62,1|0,0;50,0;62,1;
0,0|58,-2|0,0;50,0;58,-2;
0,0|41,-7|0,0;50,0;41,-7;
0,0|-8,-58|0,0;0,-50;-8,-58;
0,0|0,-58|0,0;0,-50;0,-58;
0,0|8,-58|0,0;0,-50;8,-58;
0,0|-8,58|0,0;0,50;-8,58;
0,0|0,58|0,0;0,50;0,58;
0,0|8,58|0,0;0,50;8,58;
-50,0|0,0|-50,0;0,0;
-50,0|-50,0|-50,0;
-50,0|50,0|-50,0;0,0;50,0;
-50,0|0,-50|-50,0;0,0;0,-50;
-50,0|0,50|-50,0;0,0;0,50;
-50,0|-55,-5|-50,0;-55,-5;
-50,0|-52,6|-50,0;-52,6;
-50,0|-42,-5|-50,0;-42,-5;
-50,0|-40,8|-50,0;-40,8;
-50,0|42,8|-50,0;0,0;50,0;42,8;
-50,0|57,6|-50,0;0,0;50,0;57,6;
-50,0|62,1|-50,0;0,0;50,0;62,1;
-50,0|58,-2|-50,0;0,0;50,0;58,-2;
-50,0|41,-7|-50,0;0,0;50,0;41,-7;
-50,0|-8,-58|-50,0;0,0;0,-50;-8,-58;
-50,0|0,-58|-50,0;0,0;0,-50;0,-58;
-50,0|8,-58|-50,0;0,0;0,-50;8,-58;
-50,0|-8,58|-50,0;0,0;0,50;-8,58;
-50,0|0,58|-50,0;0,0;0,50;0,58;
-50,0|8,58|-50,0;0,0;0,50;8,58;
50,0|0,0|50,0;0,0;
50,0|-50,0|50,0;0,0;-50,0;
50,0|50,0|50,0;
50,0|0,-50|50,0;0,0;0,-50;
50,0|0,50|50,0;0,0;0,50;
50,0|-55,-5|50,0;0,0;-50,0;-55,-5;
50,0|-52,6|50,0;0,0;-50,0;-52,6;
50,0|-42,-5|50,0;0,0;-50,0;-42,-5;
50,0|-40,8|50,0;0,0;-50,0;-40,8;
50,0|42,8|50,0;42,8;
50,0|57,6|50,0;57,6;
50,0|62,1|50,0;62,1;
50,0|58,-2|50,0;58,-2;
50,0|41,-7|50,0;41,-7;
50,0|-8,-58|50,0;0,0;0,-50;-8,-58;
50,0|0,-58|50,0;0,0;0,-50;0,-58;
50,0|8,-58|50,0;0,0;0,-50;8,-58;
50,0|-8,58|50,0;0,0;0,50;-8,58;
50,0|0,58|50,0;0,0;0,50;0,58;
50,0|8,58|50,0;0,0;0,50;8,58;
0,-50|0,0|0,-50;0,0;
0,-50|-50,0|0,-50;0,0;-50,0;
0,-50|50,0|0,-50;0,0;50,0;
